Date,Channel,Campaign,Spend,Impressions,Clicks,Leads,MQLs,SQLs,Customers,Revenue
2024-01-08,Meta Ads,Video Views - Brand Awareness,11146.0,44364,1235,92,43,23,4,18673.0
2024-01-08,YouTube,Bumper Ads - Retargeting,8537.0,88927,1354,29,13,5,0,0.0
2024-01-08,YouTube,Discovery Ads - Product Demo,13099.0,135478,2020,66,29,10,1,4751.0
2024-01-08,YouTube,In-Stream - Brand Awareness,13099.0,66863,1127,36,13,4,0,0.0
2024-01-15,Affiliate,Cashback Partners,6784.0,28583,994,88,47,21,3,11629.0
2024-01-15,Affiliate,Content & Review Partners,8284.0,40609,994,62,37,15,3,13255.0
2024-01-15,Affiliate,Coupon & Deals Partners,9995.0,39572,1291,114,58,28,6,27127.0
2024-01-15,Email,Abandoned Cart Series,2962.0,21425,811,184,115,70,18,65040.0
2024-01-15,Email,Post-Purchase Upsell,1980.0,10003,393,63,47,26,8,26061.0
2024-01-15,Email,Weekly Newsletter,2752.0,19268,790,180,122,76,24,101743.0
2024-01-15,Email,Win-Back Campaign,2119.0,19129,686,105,77,52,15,60880.0
2024-01-15,Google Ads,Performance Max - New Customers,19136.0,34598,1169,133,82,39,8,37881.0
2024-01-15,Google Ads,Search - Brand,14535.0,21634,881,82,50,29,6,27170.0
2024-01-15,Google Ads,Search - Non-Brand,21678.0,23152,1047,112,75,41,9,55718.0
2024-01-15,Google Ads,Shopping - Bestsellers,10889.0,11878,471,46,29,15,3,13979.0
2024-01-15,LinkedIn Ads,InMail - Account Based Marketing,11446.0,10364,88,6,4,3,1,15678.0
2024-01-15,LinkedIn Ads,Lead Gen Forms - Enterprise,15242.0,23001,134,7,5,3,1,17415.0
2024-01-15,LinkedIn Ads,Sponsored Content - Decision Makers,18992.0,20072,166,9,6,4,1,19201.0
2024-01-15,Meta Ads,Advantage+ Shopping,16966.0,63927,1124,81,46,22,4,12965.0
2024-01-15,Meta Ads,Prospecting - Lookalike 1%,18584.0,60035,1414,71,39,20,3,12277.0
2024-01-15,Meta Ads,Retargeting - Cart Abandoners,14722.0,48560,931,82,46,25,4,20086.0
2024-01-15,Meta Ads,Video Views - Brand Awareness,9983.0,33049,710,39,18,10,1,3107.0
2024-01-15,YouTube,Bumper Ads - Retargeting,7745.0,51004,660,25,10,4,0,0.0
2024-01-15,YouTube,Discovery Ads - Product Demo,10520.0,136733,1878,57,21,9,1,4583.0
2024-01-15,YouTube,In-Stream - Brand Awareness,13237.0,101909,1183,31,11,5,1,3564.0
2024-01-22,Affiliate,Cashback Partners,6007.0,25413,752,45,24,11,2,7105.0
2024-01-22,Affiliate,Content & Review Partners,7803.0,47358,1539,99,56,28,4,15721.0
2024-01-22,Affiliate,Coupon & Deals Partners,10459.0,46238,1348,98,58,24,5,20961.0
2024-01-22,Email,Abandoned Cart Series,2732.0,14903,656,118,79,54,15,53565.0
2024-01-22,Email,Post-Purchase Upsell,2070.0,19087,727,118,72,44,12,38625.0
2024-01-22,Email,Weekly Newsletter,2766.0,29368,1008,241,155,99,29,123632.0
2024-01-22,Email,Win-Back Campaign,1959.0,9115,397,82,57,35,9,29348.0
2024-01-22,Google Ads,Performance Max - New Customers,23581.0,21090,857,94,60,33,6,31889.0
2024-01-22,Google Ads,Search - Brand,17879.0,17618,657,81,54,30,6,29994.0
2024-01-22,Google Ads,Search - Non-Brand,22058.0,17624,725,67,40,22,4,25138.0
2024-01-22,Google Ads,Shopping - Bestsellers,9880.0,10709,413,38,21,11,2,12871.0
2024-01-22,LinkedIn Ads,InMail - Account Based Marketing,9576.0,10921,75,5,4,2,0,0.0
2024-01-22,LinkedIn Ads,Lead Gen Forms - Enterprise,14855.0,12225,98,7,4,3,1,19772.0
2024-01-22,LinkedIn Ads,Sponsored Content - Decision Makers,16949.0,17571,136,9,6,3,1,22143.0
2024-01-22,Meta Ads,Advantage+ Shopping,13661.0,27892,780,56,28,13,2,9516.0
2024-01-22,Meta Ads,Prospecting - Lookalike 1%,16026.0,58869,1506,123,60,29,4,14672.0
2024-01-22,Meta Ads,Retargeting - Cart Abandoners,14107.0,34533,977,58,29,14,2,10390.0
2024-01-22,Meta Ads,Video Views - Brand Awareness,9673.0,21767,530,37,21,10,2,6812.0
2024-01-22,YouTube,Bumper Ads - Retargeting,7160.0,57167,755,25,11,4,0,0.0
2024-01-22,YouTube,Discovery Ads - Product Demo,10426.0,100502,1728,39,17,5,0,0.0
2024-01-22,YouTube,In-Stream - Brand Awareness,13226.0,91174,1133,35,15,5,1,4897.0
2024-01-29,Affiliate,Cashback Partners,5062.0,21420,718,71,34,15,3,14508.0
2024-01-29,Affiliate,Content & Review Partners,7391.0,48447,1423,98,52,22,4,17063.0
2024-01-29,Affiliate,Coupon & Deals Partners,9235.0,38779,1241,88,43,21,3,13006.0
2024-01-29,Email,Abandoned Cart Series,2710.0,22996,725,130,81,54,14,56168.0
2024-01-29,Email,Post-Purchase Upsell,2071.0,11341,447,70,44,24,7,30196.0
2024-01-29,Email,Weekly Newsletter,2648.0,16043,644,146,104,67,22,83151.0
2024-01-29,Email,Win-Back Campaign,2039.0,19347,511,96,63,44,14,57149.0
2024-01-29,Google Ads,Performance Max - New Customers,18604.0,12753,637,58,37,17,4,20075.0
2024-01-29,Google Ads,Search - Brand,14846.0,17970,583,72,45,25,5,27353.0
2024-01-29,Google Ads,Search - Non-Brand,23067.0,17129,744,77,46,23,5,26828.0
2024-01-29,Google Ads,Shopping - Bestsellers,10911.0,8335,395,35,24,12,2,11241.0
2024-01-29,LinkedIn Ads,InMail - Account Based Marketing,10918.0,11319,100,5,4,2,1,15052.0
2024-01-29,LinkedIn Ads,Lead Gen Forms - Enterprise,15238.0,22949,118,8,5,3,1,24688.0
2024-01-29,LinkedIn Ads,Sponsored Content - Decision Makers,15957.0,21311,125,8,5,3,1,17488.0
2024-01-29,Meta Ads,Advantage+ Shopping,18838.0,56012,1447,125,71,33,5,23573.0
2024-01-29,Meta Ads,Prospecting - Lookalike 1%,20275.0,51768,1152,96,48,25,3,11027.0
2024-01-29,Meta Ads,Retargeting - Cart Abandoners,14893.0,58563,1218,101,49,25,3,14054.0
2024-01-29,Meta Ads,Video Views - Brand Awareness,10754.0,31682,631,52,24,10,2,9826.0
2024-01-29,YouTube,Bumper Ads - Retargeting,7286.0,68240,1109,40,19,7,1,5047.0
2024-01-29,YouTube,Discovery Ads - Product Demo,11991.0,164922,2235,51,23,7,1,4926.0
2024-01-29,YouTube,In-Stream - Brand Awareness,13199.0,121933,1964,42,19,6,1,4335.0
2024-02-05,Affiliate,Cashback Partners,5447.0,44464,918,70,35,14,3,11147.0
2024-02-05,Affiliate,Content & Review Partners,7552.0,50889,1141,109,61,33,7,27070.0
2024-02-05,Affiliate,Coupon & Deals Partners,8864.0,55614,1150,94,49,24,5,19937.0
2024-02-05,Email,Abandoned Cart Series,2868.0,15539,598,102,69,46,15,57632.0
2024-02-05,Email,Post-Purchase Upsell,1807.0,8869,347,52,34,22,6,22219.0
2024-02-05,Email,Weekly Newsletter,2761.0,18393,523,82,60,41,13,43797.0
2024-02-05,Email,Win-Back Campaign,1851.0,11330,403,76,46,26,8,24296.0
2024-02-05,Google Ads,Performance Max - New Customers,18621.0,18642,884,99,60,28,6,29864.0
2024-02-05,Google Ads,Search - Brand,14670.0,13224,507,62,37,20,4,25837.0
2024-02-05,Google Ads,Search - Non-Brand,18749.0,27553,1121,140,96,54,13,82753.0
2024-02-05,Google Ads,Shopping - Bestsellers,10240.0,14968,516,61,35,17,4,25296.0
2024-02-05,LinkedIn Ads,InMail - Account Based Marketing,9557.0,20357,102,6,4,2,1,22181.0
2024-02-05,LinkedIn Ads,Lead Gen Forms - Enterprise,13535.0,10941,95,7,5,3,1,19545.0
2024-02-05,LinkedIn Ads,Sponsored Content - Decision Makers,12956.0,12578,120,7,5,3,1,18914.0
2024-02-05,Meta Ads,Advantage+ Shopping,16226.0,49680,1018,57,29,16,2,7221.0
2024-02-05,Meta Ads,Prospecting - Lookalike 1%,18805.0,72793,1405,78,41,18,3,9026.0
2024-02-05,Meta Ads,Retargeting - Cart Abandoners,12411.0,60194,1083,64,35,16,2,9917.0
2024-02-05,Meta Ads,Video Views - Brand Awareness,10060.0,23162,580,42,24,12,2,6835.0
2024-02-05,YouTube,Bumper Ads - Retargeting,6830.0,44092,785,21,11,4,1,3969.0
2024-02-05,YouTube,Discovery Ads - Product Demo,10067.0,86193,1146,27,12,4,0,0.0
2024-02-05,YouTube,In-Stream - Brand Awareness,11499.0,118110,2024,66,28,10,1,4192.0
2024-02-12,Affiliate,Cashback Partners,5839.0,34593,1190,104,62,27,5,23661.0
2024-02-12,Affiliate,Content & Review Partners,7647.0,43781,1491,130,74,40,8,38852.0
2024-02-12,Affiliate,Coupon & Deals Partners,10135.0,62619,1443,122,69,36,6,21305.0
2024-02-12,Email,Abandoned Cart Series,2323.0,25086,696,151,100,69,22,83536.0
2024-02-12,Email,Post-Purchase Upsell,2107.0,12464,396,84,60,35,11,43814.0
2024-02-12,Email,Weekly Newsletter,2505.0,19851,537,105,66,37,10,43040.0
2024-02-12,Email,Win-Back Campaign,1867.0,16178,712,168,108,69,19,72603.0
2024-02-12,Google Ads,Performance Max - New Customers,19108.0,30627,1056,129,79,39,8,46866.0
2024-02-12,Google Ads,Search - Brand,12649.0,8647,445,47,27,12,2,9380.0
2024-02-12,Google Ads,Search - Non-Brand,20726.0,27410,1155,130,83,40,9,53765.0
2024-02-12,Google Ads,Shopping - Bestsellers,10024.0,9644,487,42,27,14,3,14126.0
2024-02-12,LinkedIn Ads,InMail - Account Based Marketing,8600.0,14618,82,4,3,1,0,0.0
2024-02-12,LinkedIn Ads,Lead Gen Forms - Enterprise,12825.0,17366,132,8,5,3,1,15010.0
2024-02-12,LinkedIn Ads,Sponsored Content - Decision Makers,16370.0,27307,140,6,4,3,1,18373.0
2024-02-12,Meta Ads,Advantage+ Shopping,13652.0,42676,1190,74,35,16,2,7398.0
2024-02-12,Meta Ads,Prospecting - Lookalike 1%,16703.0,52478,1114,82,38,20,3,14310.0
2024-02-12,Meta Ads,Retargeting - Cart Abandoners,12120.0,66659,1030,85,41,17,3,11310.0
2024-02-12,Meta Ads,Video Views - Brand Awareness,8113.0,36058,766,65,30,13,2,9916.0
2024-02-12,YouTube,Bumper Ads - Retargeting,7495.0,100938,1132,37,13,5,1,4721.0
2024-02-12,YouTube,Discovery Ads - Product Demo,9983.0,63395,951,23,9,4,0,0.0
2024-02-12,YouTube,In-Stream - Brand Awareness,10619.0,240408,2094,67,31,10,1,5399.0
2024-02-19,Affiliate,Cashback Partners,4962.0,25974,560,37,19,10,2,9267.0
2024-02-19,Affiliate,Content & Review Partners,7209.0,58124,1192,110,51,23,5,19764.0
2024-02-19,Affiliate,Coupon & Deals Partners,9141.0,59416,1369,91,52,21,4,18396.0
2024-02-19,Email,Abandoned Cart Series,2752.0,24151,758,171,119,72,24,89946.0
2024-02-19,Email,Post-Purchase Upsell,2060.0,20323,550,100,66,38,12,38589.0
2024-02-19,Email,Weekly Newsletter,3174.0,41695,1211,197,123,76,25,91827.0
2024-02-19,Email,Win-Back Campaign,1748.0,11496,443,81,59,37,11,47169.0
2024-02-19,Google Ads,Performance Max - New Customers,18246.0,17757,800,96,59,29,6,36247.0
2024-02-19,Google Ads,Search - Brand,15341.0,11858,601,70,44,25,4,18560.0
2024-02-19,Google Ads,Search - Non-Brand,22331.0,21193,777,83,53,31,7,37154.0
2024-02-19,Google Ads,Shopping - Bestsellers,10122.0,17171,572,62,36,20,4,18866.0
2024-02-19,LinkedIn Ads,InMail - Account Based Marketing,11153.0,14106,112,6,4,2,0,0.0
2024-02-19,LinkedIn Ads,Lead Gen Forms - Enterprise,14417.0,13191,131,7,4,2,1,18828.0
2024-02-19,LinkedIn Ads,Sponsored Content - Decision Makers,17069.0,30298,164,9,6,4,1,18258.0
2024-02-19,Meta Ads,Advantage+ Shopping,16324.0,71271,1524,106,51,21,3,15285.0
2024-02-19,Meta Ads,Prospecting - Lookalike 1%,15515.0,64703,1176,65,33,16,2,8688.0
2024-02-19,Meta Ads,Retargeting - Cart Abandoners,12589.0,37620,1010,86,43,21,3,9352.0
2024-02-19,Meta Ads,Video Views - Brand Awareness,10202.0,51087,796,59,27,13,2,7864.0
2024-02-19,YouTube,Bumper Ads - Retargeting,6912.0,74819,1295,36,15,6,1,5169.0
2024-02-19,YouTube,Discovery Ads - Product Demo,9144.0,67564,1115,40,15,6,1,5140.0
2024-02-19,YouTube,In-Stream - Brand Awareness,11866.0,116264,1970,43,21,8,1,4501.0
2024-02-26,Affiliate,Cashback Partners,6438.0,36043,917,59,34,16,3,14372.0
2024-02-26,Affiliate,Content & Review Partners,7310.0,27741,1042,75,34,19,3,12439.0
2024-02-26,Affiliate,Coupon & Deals Partners,9097.0,58010,1282,124,73,32,7,31118.0
2024-02-26,Email,Abandoned Cart Series,2437.0,13924,521,99,74,42,14,58803.0
2024-02-26,Email,Post-Purchase Upsell,1962.0,18588,624,146,93,64,22,67713.0
2024-02-26,Email,Weekly Newsletter,2639.0,21119,798,169,109,62,18,56508.0
2024-02-26,Email,Win-Back Campaign,1701.0,20446,575,134,85,58,17,62774.0
2024-02-26,Google Ads,Performance Max - New Customers,18855.0,25761,953,103,63,29,6,33314.0
2024-02-26,Google Ads,Search - Brand,13770.0,19100,670,60,33,15,3,13552.0
2024-02-26,Google Ads,Search - Non-Brand,22948.0,21402,853,83,52,30,7,31470.0
2024-02-26,Google Ads,Shopping - Bestsellers,9232.0,9525,315,38,22,13,3,19665.0
2024-02-26,LinkedIn Ads,InMail - Account Based Marketing,10219.0,11615,70,4,3,2,0,0.0
2024-02-26,LinkedIn Ads,Lead Gen Forms - Enterprise,13326.0,12507,91,5,4,2,1,23090.0
2024-02-26,LinkedIn Ads,Sponsored Content - Decision Makers,16247.0,11886,116,7,5,3,1,18036.0
2024-02-26,Meta Ads,Advantage+ Shopping,15463.0,32108,882,70,40,22,3,13213.0
2024-02-26,Meta Ads,Prospecting - Lookalike 1%,13918.0,70163,1505,128,62,30,5,15669.0
2024-02-26,Meta Ads,Retargeting - Cart Abandoners,11451.0,37125,930,63,35,19,3,15549.0
2024-02-26,Meta Ads,Video Views - Brand Awareness,9402.0,25009,537,44,25,14,2,9122.0
2024-02-26,YouTube,Bumper Ads - Retargeting,6029.0,47258,515,12,4,2,0,0.0
2024-02-26,YouTube,Discovery Ads - Product Demo,9598.0,135075,1228,39,18,6,1,4647.0
2024-02-26,YouTube,In-Stream - Brand Awareness,11508.0,54489,978,38,18,6,1,5356.0
2024-03-04,Affiliate,Cashback Partners,4793.0,24707,741,60,34,17,3,11309.0
2024-03-04,Affiliate,Content & Review Partners,6822.0,44158,1019,89,51,27,5,24724.0
2024-03-04,Affiliate,Coupon & Deals Partners,9623.0,33482,1240,86,43,21,5,24945.0
2024-03-04,Email,Abandoned Cart Series,2801.0,32451,911,138,86,50,13,55921.0
2024-03-04,Email,Post-Purchase Upsell,1857.0,10904,436,95,62,39,12,36981.0
2024-03-04,Email,Weekly Newsletter,2522.0,12901,578,133,98,57,17,56988.0
2024-03-04,Email,Win-Back Campaign,1948.0,14679,597,112,80,48,14,50014.0
2024-03-04,Google Ads,Performance Max - New Customers,19476.0,23162,917,103,61,36,9,49122.0
2024-03-04,Google Ads,Search - Brand,15746.0,12593,599,54,34,18,4,21673.0
2024-03-04,Google Ads,Search - Non-Brand,21523.0,21979,820,74,46,24,5,26043.0
2024-03-04,Google Ads,Shopping - Bestsellers,9646.0,8018,393,44,29,16,3,15102.0
2024-03-04,LinkedIn Ads,InMail - Account Based Marketing,9718.0,11198,75,4,3,2,0,0.0
2024-03-04,LinkedIn Ads,Lead Gen Forms - Enterprise,12321.0,20280,136,7,5,2,1,15448.0
2024-03-04,LinkedIn Ads,Sponsored Content - Decision Makers,14966.0,12518,115,8,5,3,1,18354.0
2024-03-04,Meta Ads,Advantage+ Shopping,14780.0,42355,832,48,22,11,2,9306.0
2024-03-04,Meta Ads,Prospecting - Lookalike 1%,18609.0,43635,1030,75,36,20,3,13783.0
2024-03-04,Meta Ads,Retargeting - Cart Abandoners,14433.0,59232,1076,62,36,17,2,9155.0
2024-03-04,Meta Ads,Video Views - Brand Awareness,10021.0,42574,806,49,29,12,2,7438.0
2024-03-04,YouTube,Bumper Ads - Retargeting,7329.0,40194,639,21,10,4,0,0.0
2024-03-04,YouTube,Discovery Ads - Product Demo,8863.0,156660,1355,30,15,5,1,3754.0
2024-03-04,YouTube,In-Stream - Brand Awareness,10911.0,112767,1732,37,16,6,1,4350.0
2024-03-11,Affiliate,Cashback Partners,5781.0,38637,975,59,34,16,3,14814.0
2024-03-11,Affiliate,Content & Review Partners,7183.0,63128,1335,118,58,26,6,24472.0
2024-03-11,Affiliate,Coupon & Deals Partners,10140.0,58457,1543,96,54,26,5,21017.0
2024-03-11,Email,Abandoned Cart Series,2312.0,11026,436,86,54,35,11,44275.0
2024-03-11,Email,Post-Purchase Upsell,1719.0,16407,508,98,59,35,9,35783.0
2024-03-11,Email,Weekly Newsletter,2465.0,23927,777,123,85,55,18,71564.0
2024-03-11,Email,Win-Back Campaign,1808.0,7837,345,71,53,36,9,35608.0
2024-03-11,Google Ads,Performance Max - New Customers,18802.0,21800,739,81,47,25,5,27126.0
2024-03-11,Google Ads,Search - Brand,13609.0,10198,502,45,29,14,3,13758.0
2024-03-11,Google Ads,Search - Non-Brand,24284.0,26074,1334,156,100,57,13,84256.0
2024-03-11,Google Ads,Shopping - Bestsellers,10047.0,7419,356,37,24,14,3,13973.0
2024-03-11,LinkedIn Ads,InMail - Account Based Marketing,10568.0,14990,107,6,4,2,1,22114.0
2024-03-11,LinkedIn Ads,Lead Gen Forms - Enterprise,15488.0,14050,140,8,5,3,1,19505.0
2024-03-11,LinkedIn Ads,Sponsored Content - Decision Makers,17810.0,18046,152,8,6,3,1,24555.0
2024-03-11,Meta Ads,Advantage+ Shopping,15718.0,57940,1596,139,67,32,6,30675.0
2024-03-11,Meta Ads,Prospecting - Lookalike 1%,14246.0,55358,1486,105,52,26,4,20271.0
2024-03-11,Meta Ads,Retargeting - Cart Abandoners,13471.0,31254,852,70,36,18,2,9335.0
2024-03-11,Meta Ads,Video Views - Brand Awareness,8284.0,26037,663,39,19,8,1,4237.0
2024-03-11,YouTube,Bumper Ads - Retargeting,6547.0,56104,548,12,5,2,0,0.0
2024-03-11,YouTube,Discovery Ads - Product Demo,9153.0,61725,990,25,10,4,1,4097.0
2024-03-11,YouTube,In-Stream - Brand Awareness,10763.0,177226,1571,58,20,8,1,4464.0
2024-03-18,Affiliate,Cashback Partners,5277.0,20284,666,64,38,16,3,13591.0
2024-03-18,Affiliate,Content & Review Partners,6191.0,30887,893,61,32,13,3,11995.0
2024-03-18,Affiliate,Coupon & Deals Partners,9281.0,71543,2021,190,87,48,9,36832.0
2024-03-18,Email,Abandoned Cart Series,2445.0,26662,957,179,130,84,24,80136.0
2024-03-18,Email,Post-Purchase Upsell,2224.0,13537,481,110,70,43,14,44792.0
2024-03-18,Email,Weekly Newsletter,3246.0,27949,844,191,118,82,26,97653.0
2024-03-18,Email,Win-Back Campaign,1924.0,16791,644,132,95,59,16,68073.0
2024-03-18,Google Ads,Performance Max - New Customers,18283.0,12398,590,61,37,22,5,32463.0
2024-03-18,Google Ads,Search - Brand,13741.0,12749,605,68,41,24,6,29971.0
2024-03-18,Google Ads,Search - Non-Brand,19212.0,25987,913,83,57,30,6,36032.0
2024-03-18,Google Ads,Shopping - Bestsellers,8200.0,6190,277,25,16,9,2,10799.0
2024-03-18,LinkedIn Ads,InMail - Account Based Marketing,9963.0,10650,64,3,2,1,0,0.0
2024-03-18,LinkedIn Ads,Lead Gen Forms - Enterprise,13555.0,13171,103,7,5,3,1,22443.0
2024-03-18,LinkedIn Ads,Sponsored Content - Decision Makers,14411.0,11669,103,5,4,2,1,22638.0
2024-03-18,Meta Ads,Advantage+ Shopping,15804.0,76573,1644,108,55,25,4,19400.0
2024-03-18,Meta Ads,Prospecting - Lookalike 1%,17272.0,48477,1029,63,28,12,2,6784.0
2024-03-18,Meta Ads,Retargeting - Cart Abandoners,11805.0,44669,1116,84,50,26,4,13210.0
2024-03-18,Meta Ads,Video Views - Brand Awareness,10651.0,30212,697,36,20,10,1,3721.0
2024-03-18,YouTube,Bumper Ads - Retargeting,7988.0,105091,921,23,11,3,0,0.0
2024-03-18,YouTube,Discovery Ads - Product Demo,11407.0,109455,1923,73,29,9,1,4377.0
2024-03-18,YouTube,In-Stream - Brand Awareness,12089.0,114285,1573,52,24,10,1,5288.0
2024-03-25,Affiliate,Cashback Partners,5971.0,39348,1337,106,54,22,4,18629.0
2024-03-25,Affiliate,Content & Review Partners,7600.0,45855,935,58,28,14,3,11963.0
2024-03-25,Affiliate,Coupon & Deals Partners,9477.0,64601,2355,209,112,52,11,50652.0
2024-03-25,Email,Abandoned Cart Series,2492.0,18091,530,90,54,35,11,43783.0
2024-03-25,Email,Post-Purchase Upsell,2180.0,21244,717,164,104,57,16,59701.0
2024-03-25,Email,Weekly Newsletter,2766.0,36171,962,217,156,92,24,80900.0
2024-03-25,Email,Win-Back Campaign,1943.0,10447,360,82,57,32,10,38766.0
2024-03-25,Google Ads,Performance Max - New Customers,22351.0,36873,1358,123,82,39,10,58438.0
2024-03-25,Google Ads,Search - Brand,14230.0,14928,610,59,41,23,4,26374.0
2024-03-25,Google Ads,Search - Non-Brand,24490.0,24460,1192,106,74,41,9,41391.0
2024-03-25,Google Ads,Shopping - Bestsellers,9067.0,17063,564,62,41,20,5,22630.0
2024-03-25,LinkedIn Ads,InMail - Account Based Marketing,10251.0,10926,74,3,2,1,0,0.0
2024-03-25,LinkedIn Ads,Lead Gen Forms - Enterprise,15097.0,26086,131,6,5,3,1,17589.0
2024-03-25,LinkedIn Ads,Sponsored Content - Decision Makers,16326.0,19452,116,7,4,2,1,22354.0
2024-03-25,Meta Ads,Advantage+ Shopping,16333.0,39113,1001,59,29,14,2,7614.0
2024-03-25,Meta Ads,Prospecting - Lookalike 1%,17986.0,53763,1307,87,45,20,3,13525.0
2024-03-25,Meta Ads,Retargeting - Cart Abandoners,12429.0,38102,733,57,31,15,2,10220.0
2024-03-25,Meta Ads,Video Views - Brand Awareness,10204.0,37082,679,56,29,15,2,8068.0
2024-03-25,YouTube,Bumper Ads - Retargeting,7341.0,74499,763,23,10,3,0,0.0
2024-03-25,YouTube,Discovery Ads - Product Demo,10346.0,109143,991,22,10,4,1,3862.0
2024-03-25,YouTube,In-Stream - Brand Awareness,11786.0,120243,1746,59,21,8,1,4943.0
2024-04-01,Affiliate,Cashback Partners,6245.0,28226,835,70,36,15,3,11981.0
2024-04-01,Affiliate,Content & Review Partners,7977.0,38072,1403,118,54,27,4,19264.0
2024-04-01,Affiliate,Coupon & Deals Partners,9510.0,50808,1352,114,59,31,6,21994.0
2024-04-01,Email,Abandoned Cart Series,2518.0,13364,488,75,53,33,11,44260.0
2024-04-01,Email,Post-Purchase Upsell,1908.0,18599,614,123,91,53,16,51661.0
2024-04-01,Email,Weekly Newsletter,2975.0,16589,566,105,67,39,12,37446.0
2024-04-01,Email,Win-Back Campaign,1689.0,17968,542,116,78,52,15,52366.0
2024-04-01,Google Ads,Performance Max - New Customers,22753.0,26667,882,97,54,31,7,33466.0
2024-04-01,Google Ads,Search - Brand,16497.0,12659,582,69,38,18,3,16530.0
2024-04-01,Google Ads,Search - Non-Brand,23762.0,18586,911,83,55,26,5,29809.0
2024-04-01,Google Ads,Shopping - Bestsellers,9201.0,9417,486,50,34,18,4,18877.0
2024-04-01,LinkedIn Ads,InMail - Account Based Marketing,10115.0,18567,109,7,5,3,1,21014.0
2024-04-01,LinkedIn Ads,Lead Gen Forms - Enterprise,14703.0,15451,106,6,4,2,1,19023.0
2024-04-01,LinkedIn Ads,Sponsored Content - Decision Makers,16118.0,19040,148,9,6,4,1,23839.0
